Título,Revisiones,Año Publicación,Idioma,Rating,ISBN
Treasure Island (Great Illustrated Classics),16,2006,1,4.05,1577658051
Daniel Deronda Notebooks,0,1996,2,3.7,0521460646
Flight: 100 Years of Aviation,2,2002,2,4.31,0789489104
100 Years of Lynchings,4,1996,1,4.61,0933121180
If You Lived 100 Years Ago,20,1999,2,3.91,0590960016
Camp Cooking: 100 Years The National Museum of Forest Service History,1,2004,2,4.42,1586857614
El Siglo del Espiritu Santo,0,2006,2,3.79,9875570923
The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,2,2004,2,4.0,1886296316
Disney,1,2003,2,3.98,0786853808
Masterwork Studies Series: 100 Years of Solitude,14,1991,2,4.05,0805779892
Cien años de soledad,7,1990,2,4.07,0785950109
Chess for Zebras,8,2003,2,4.4,1901983854
What If the Zebras Lost Their Stripes?,14,1998,2,4.14,0809166496
On Beyond Zebra!,165,1955,1,4.04,0394800842
Ziggy the Zebra,0,2000,2,4.07,1581171048
The Wedding Clause,14,2005,1,3.61,0821778250
The Zebra Wall,24,2005,1,3.44,0060733039
Lots and Lots of Zebra Stripes,7,2002,2,3.74,1563979802
El perfume: Historia de un asesino,262,2002,2,4.02,8432216062
Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,0,2006,2,4.09,1574325027
Scents & Sensibilities: Creating Solid Perfumes for Well-Being,1,2005,2,3.85,158685738X
The Door Into Summer,654,1997,1,4.01,0345413997
Stranger in a Strange Land,6303,1991,1,3.92,0441788386
To Sail Beyond the Sunset,194,1988,1,3.87,0441748600
Job: A Comedy of Justice,440,1985,1,3.7800000000000002,0345316509
Wish You Were Here: The Official Biography of Douglas Adams,49,2005,1,4.14,0345476514
Velvet: A Novel of Suspense,0,1993,2,2.5700000000000003,0881502642
The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,5,2006,2,3.93,159777006X
Salmon Doubts,29,2004,2,3.25,1891867717
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,0,2003,1,3.93,1417622857
A Guide for Using the Phantom Tollbooth in the Classroom,0,1994,2,4.25,1557344310
On Bullshit,1005,2005,1,3.5700000000000003,0691122946
Another Bullshit Night in Suck City,909,2005,1,3.79,0393329402
100 Bullshit Jobs...And How to Get Them,23,2006,2,3.19,0060734795
The Business of Bullshit,3,2006,2,3.47,0452287332
Bullshit Artist: The 9/11 Leadership Myth,0,2006,2,4.67,141962461X
Your Call Is Important to Us: The Truth About Bullshit,32,2006,2,3.42,1400081041
Lincoln at Gettysburg: The Words That Remade America,15,1993,1,4.14,0671867423
The Gettysburg Address,76,1998,1,4.53,0395883970
Underworld,177,1998,1,3.92,0684848155
Libra,572,1991,1,3.99,0140156046
Americana,55,1989,1,3.43,0140119485
Running Dog,76,1989,1,3.43,0679722947
Cosmopolis,41,2004,1,3.22,0743244257
Great Jones Street,149,1994,1,3.48,0140179178
The Names,213,1989,1,3.64,0679722955
Against the Day,590,2006,1,4.13,159420120X
V.,179,2005,1,3.96,0060930217
The Crying of Lot 49,231,1999,1,3.69,0060931671
Mason & Dixon,609,2004,1,4.07,0312423209
Vineland,69,1997,1,3.69,0141180633
Slow Learner: Early Stories,34,1985,1,3.5,0316724432
Been Down So Long It Looks Like Up To Me,220,1996,1,3.79,0140189300
Vintage Didion,25,2004,2,4.1,1400033934
The Year of Magical Thinking,337,2005,1,3.89,140004314X
The White Album,763,1990,1,4.16,0374522219
A Book of Common Prayer,259,1995,1,3.8,0679754865
Where I Was From,295,2004,1,3.86,0679752862
Slouching Towards Bethlehem,1876,1990,1,4.21,0374521727
Democracy,172,1995,1,3.8200000000000003,0679754857
Miami,96,1998,2,3.7,0679781803
Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League,4,1980,2,3.71,0030554268
The New York Trilogy,1895,2006,1,3.89,0143039830
Pyramids of Montauk: Explorations in Consciousness,2,1995,1,3.89,0963188925
The Brooklyn Follies,1161,2006,1,3.84,0312426232
Moon Palace,511,1990,1,3.94,0140115854
A Tomb for Anatole: Poetry,15,2005,2,4.37,0811215938
The Invention of Solitude: A Memoir,12,1988,2,3.7800000000000002,0140106286
The Music of Chance,36,1991,1,3.91,0140154078
Travels in the Scriptorium,565,2007,1,3.23,0805081453
In the Country of Last Things,52,1988,2,3.87,0140097058
Leviathan,449,1993,1,3.96,0140178139
The Random House Book of 20th Century French Poetry,11,1984,2,4.5600000000000005,0394717481
The Inner Life of Martin Frost,8,2006,2,3.33,9051705441
Disappearances,1,1989,2,3.4,0879513411
The Red Notebook: True Stories,121,2002,1,3.77,0811214982
Collected Poems,3,2004,2,3.58,1585674044
Timbuktu / Leviathan / Moon Palace,1,2002,3,4.32,2742741461
An Art of Desire: Reading Paul Auster,0,1999,2,4.0,9042004533
World that is the Book: Paul Auster’s Fiction,0,2001,2,3.6,0853236879
Beyond the Red Notebook,0,1995,2,4.0,0812215567
Collapse: How Societies Choose to Fail or Succeed,2806,2005,1,3.93,0143036556
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,26,2006,1,3.39,0446579785
Collapse of Complex Societies,88,1990,1,4.16,052138673X
Bowling Alone: The Collapse and Revival of American Community,518,2001,1,3.8,0743203046
The Collapse of Evolution,5,1997,2,4.1,0801057744
Collapse of Burning Buildings: A Guide to Fireground Safety,0,1988,2,4.83,0878149031
The Languages of Native North America,6,2001,2,4.53,052129875X
Indian Sign Language,2,1969,2,3.95,048622029X
The Fantastic Inventions of Nikola Tesla,21,2014,2,4.05,0932813194
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,340,2001,1,3.79,0806519606
The Lost Journals of Nikola Tesla: HAARP - Chemtrails and the Secret of Alternative 4,3,2011,2,3.91,1892062135
Nikola Tesla: A Spark of Genius,6,1994,1,3.93,0822549204
Tesla Papers,2,2000,1,4.13,0932813860
21st Century Mysteries: Nikola Tesla: Federal Documents and References (CD-ROM),0,2006,2,5.0,1422004848
Problem of Increasing Human Energy,13,1996,2,4.24,1564598446
The Tesla Rotating Magnetic Field,0,2005,2,4.0,1425318738
Art Invention House,0,2005,2,3.67,0847827356
The Invention of Peace: Reflections on War and International Order,8,2001,2,3.69,0300088663
Amazing Leonardo da Vinci Inventions: You Can Build Yourself,14,2006,2,3.86,0974934429
The Invention of Love,100,1998,2,4.02,0802135811
Sliding Into Home,16,2005,2,3.89,1561453412
Boys of Summer,12,2006,1,3.77,0373792689
Best of Ruby Quiz Volume One,0,2006,2,3.4,0976694077
From Java to Ruby,3,2006,2,3.14,0976694093
Rails Recipes,5,2006,2,3.55,0977616606
Learn to Program,46,2006,2,4.13,0976694042
English-Cayuga/Cayuga-English Dictionary,1,2002,2,0.0,080203618X
Lord of the Flies,97,2005,1,3.68,0307281701
Lord of the Flies (SparkNotes Literature Guides),1,2002,2,3.76,1586633554
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,101,2006,1,4.11,0812969707
Jack: A Life Like No Other,19,2001,2,3.85,0375503633
We Were Not Like Other People,0,1989,1,4.14,0060255080
USB Mass Storage: Designing and Programming Devices and Embedded Hosts,1,2006,2,3.67,1931448043
Storage Network Performance Analysis,0,2003,2,3.93,076451685X
Complete Home Storge,0,2003,2,3.1,0376017708
Storage Area Network Essentials: A Complete Guide to Understanding and Implementing Sans,2,2001,2,4.06,0471034452
Country Living Stylish Storage: Simple Ways to Contain Your Clutter,0,2002,2,3.0,1588162257
Simple Handmade Storage: 23 Step-By-Step Weekend Projects,1,2004,2,3.29,1592231500
Storage (Chic Simple) (Chic Simple Components),0,1994,2,2.83,0679432221
The Chap Manifesto: Revolutionary Etiquette for the Modern Gentleman,3,2001,2,3.9,1841156574
The Last Gentleman (Modern Library),4,1998,2,3.87,0679602720
The Word of a Gentleman: Meditations for Modern Man,0,1983,2,3.0,0310258111
CSS Mastery: Advanced Web Standards Solutions,38,2006,2,4.1,1590596145
The Zen of CSS Design: Visual Enlightenment for the Web,28,2005,1,3.98,0321303474
The CSS Anthology,4,2004,2,3.87,0957921888
HTML Utopia,6,2006,2,3.29,0975240277
Eric Meyer on CSS: Mastering the Language of Web Design with Cascading Style Sheets,11,2002,2,4.13,073571245X
1000 Record Covers,32,2005,4,3.84,3822840858
Paul Huf: record covers,0,1999,2,0.0,9080482110
100 Albums That Changed Music: And 500 Songs You Need to Hear,0,2006,2,3.5300000000000002,0785821341
1000 Families,2,2002,2,4.06,3822822647
The Art of Rock: Posters from Presley to Punk,7,1999,2,4.49,0789206110
Art of Modern Rock: The Poster Explosion,25,2004,2,4.12,081184529X
Ambiguous Images: Gender and Rock Art,0,2003,2,3.83,0759100659
Roadside Guide to Indian Ruins & Rock Art of the Southwest,0,2005,2,4.12,1565794818
A Field Guide to Rock Art Symbols of the Greater Southwest,5,1992,2,4.18,1555660916
Guide to Rock Art of the Utah Region: Sites with Public Access,1,2000,2,4.0,158096009X
The Rock Art of Texas Indians,0,1996,2,4.1,0292743262
The Archaeology of Rock-Art,0,1999,2,4.31,0521576199
African Rock Art: Paintings and Engravings on Stone,1,2001,2,4.14,0810943638
Flash to the Core: An Interactive Sketchbook by Joshua Davis,3,2002,2,4.1,0735712883
Killing Yourself to Live: 85% of a True Story,1116,2006,1,3.81,0743264460
Grand Theft Auto: Vice City Official Strategy Guide for PC,0,2003,2,4.07,0744002613
Grand Theft Auto: Vice City Stories Official Strategy Guide,0,2006,2,4.5,0744008433
The Faking of the Vice-President: A Guide to Becoming a Superfluous Leader,0,1992,2,0.0,0399517294
Vice & Virtue in Everyday Life: Introductory Readings in Ethics,5,2006,2,3.74,0495130060
Vice Cream: Over 70 Sinfully Delicious Dairy-Free Delights,10,2004,2,3.8200000000000003,1587611996
The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,641,2005,2,3.93,0767923820
The Automatic Millionaire Homeowner: A Powerful Plan to Finish Rich in Real Estate,91,2006,2,3.84,0767921208
The Automatic Millionaire Workbook: A Personalized Plan to Live and Finish Rich. . . Automatically,6,2005,2,3.73,0767919483
The Automatic Millionaire Workbook,0,2005,2,3.73,0385661339
The Mouse and the Motorcycle,1,2006,2,3.93,0060588330
The Essential Guide to Motorcycle Maintenance,4,2004,2,3.94,1884313418
How to Paint Your Motorcycle,0,2005,2,4.0,0760320780
How to Restore Your Motorcycle,2,2000,2,3.66,0760306818
Motorcycle Touring: Everything You Need to Know,2,2005,2,3.5,0760320357
Guidebook to Zen and the Art of Motorcycle Maintenance,11,1990,1,3.7199999999999998,0688060692
Motorcycle Camping Made Easy,1,2002,2,3.62,1884313337
Dos Logos,1,2004,2,3.9699999999999998,3899550552
Logo Design Workbook: A Hands-On Guide to Creating Logos,9,2006,2,3.9,1592532349
Letterhead and Logo Design 9,2,2005,2,4.22,1592531822
Los Logos: A Selected LOGO Collection,2,2002,2,3.96,3931126927
The Big Book of Logos 3,0,2004,2,4.18,0060596880
Great Short Works,67,2004,2,4.31,0060586974
The Death of Ivan Ilych And Other Stories,267,2003,1,4.11,0451528808
Tolstoy Lied: A Love Story,22,2006,2,3.45,0618546693
The Kingdom of God Is Within You,212,2006,1,4.12,0486451380
Walk in the Light & Twenty-Three Tales,22,2003,2,4.15,1570754608
The Poet of Tolstoy Park,7,2004,2,3.93,034547631X
Atlas Shrugged,14821,1999,1,3.69,0452011876
For the New Intellectual: The Philosophy of Ayn Rand,109,1963,1,3.68,0451163087
The Fountainhead,230,2005,1,3.87,0452286751
The Virtue of Selfishness: A New Concept of Egoism,473,1964,1,3.51,0451163931
Ayn Rand Answers: The Best of Her Q & A,15,2005,2,4.16,0451216652
Anthem,7353,1999,1,3.63,0452281253
We the Living,1094,1996,1,3.91,0451187849
Capitalism: The Unknown Ideal,156,1986,1,3.88,0451147952
Letters of Ayn Rand,2,1997,1,3.9699999999999998,0452274044
Sailing for Dummies,7,2006,1,3.95,0471791431
The Complete Sailor: Learning the Art of Sailing,14,1995,2,4.31,0070571317
Sailing Fundamentals,12,2005,2,3.94,0743273087
Sailing from Byzantium: How a Lost Empire Shaped the World,83,2006,1,3.88,0553803816
Sailing Alone Around the Room: New and Selected Poems,635,2002,1,4.23,0375755195
Learning to Sail: The Annapolis Sailing School Guide for All Ages,3,1994,2,4.07,0070240140
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,5,2004,1,3.62,1592283195
The Handbook Of Sailing,8,1992,2,4.05,0679740635
More Natural Cures Revealed,51,2006,2,3.41,0975599542
Natural Capitalism,134,2000,2,4.0,0316353000
The Natural,680,2003,1,3.63,0374502005
Natural Resource Conservation: Management for a Sustainable Future,0,2004,2,3.39,0131458329
The End of Print,5,1995,2,4.06,0811811999
David Carson 2ndsight,0,1997,2,4.06,078930127X
The Book of Probes,4,2003,2,4.15,1584230568
Ortlos: Architecture of the Net.Works,0,2005,2,4.33,3775716521
Digging to America,1853,2006,1,3.55,0307263940
Rereading America: Cultural Contexts for Critical Thinking and Writing,3,2004,1,3.7800000000000002,0312405545
The Plot Against America,3049,2005,1,3.77,1400079497
Covenant with Black America,22,2006,2,3.76,0883782774
Democracy in America,2,2003,2,4.02,089526160X
Naked Pictures of Famous People,418,1999,1,3.59,0688171621
Swiss Design 2002: Netzwerke / Ra(c)Seaux / Networks,0,2003,2,2.0,3037780010
Benzin: Young Swiss Graphic Design,1,2001,2,4.12,3907078586
Swiss Design 2004,0,2004,2,0.0,3037780444
Swiss Design 2003: Desir Design,0,2004,2,0.0,3037780274
The Art of Structural Design: A Swiss Legacy,0,2003,2,4.0,0300097867
Swiss Graphic Design,0,2000,2,3.75,3931126366
Charted Swiss Folk Designs,0,1978,2,2.0,0486235742
Guitar Chord Encyclopedia: 36 Chords in Each Key,0,1993,2,3.73,0882845292
Guitar Case Chord Book in Full Color - Compact Music Guides Series,0,2002,2,4.5,0825619408
Chord Workbook for Guitar Volume One,0,2001,2,4.4,1890944505
Guitar Chord Bible,3,2009,2,4.2,0785820833
Red Hot Chili Peppers,0,2005,2,4.0,0634096486
Mel Bays Guitar Chords,2,1993,2,4.5,0871660903
Jazz Guitar Chord System: Private Lessons Series,0,1999,2,4.75,0793591651
The First Stage Guitar Chord Chart: Learn How to Play the Most Commonly Played Guitar Chords!,0,2006,2,3.2,0966771915
Jazz Guitar Chord Workout,0,2004,2,0.0,0786671513
The Beatles Guitar Chord Songbook: A-I (Guitar Chord Songbooks),0,2003,2,4.25,0634053396
The Compact Rock Guitar Chord Reference,0,1999,2,0.0,0825613876
The Guitar Three-Chord Songbook: Play 50 Rock Hits with Only 3 Easy Chords,0,2002,2,3.88,0634049941
The Advanced Guitar Case Chord Book: Compact Reference Library,0,1992,2,3.33,0825612438
Guitar Chord Guru: The Chord Book - Your Guide for Success!,1,2000,2,4.25,1569221596
Guitar Chord Songbook: Classic Rock,0,2005,2,4.0,0634060651
The Guitar Chord Deck,0,1999,2,5.0,0825617545
Guitar Picture Chords in Color,0,2001,2,5.0,0825618932
Collected Stories,182,2008,1,4.19,0060932686
Crónica de una muerte anunciada,435,2003,2,3.9699999999999998,1400034957
Del amor y otros demonios,289,2006,2,3.98,0307350444
Living to Tell the Tale,47,2004,1,3.99,140003454X
Memoria de mis putas tristes,387,2004,2,3.6,1400095808
Gabriel Garcia Marquez,0,1984,2,3.8,0805765972
The Presence of Hemingway in the Short Fiction of Gabriel Garcia Marquez,0,1994,2,3.5,091996690X
Science and Sensibility: The Elegant Logic of the Universe,1,2004,2,3.6,1591021383
Buddhism Pure and Simple,1,2001,2,4.26,0834804824
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,6,2005,1,4.27,086171492X
Buddhism Plain and Simple,377,1998,2,4.08,0767903323
Buddhism Is Not What You Think: Finding Freedom Beyond Beliefs,65,2009,2,4.09,0060730579
The Path to Buddha: A Tibetan Pilgrimage,2,2003,2,4.19,0714843466
The Shaolin Way: 10 Modern Secrets of Survival from a Shaolin Grandmaster,11,2005,2,3.26,0060574569
Now Zen,2,1995,2,4.06,0062511734
The Rough Guide to London,0,2003,2,4.02,1843530937
The Mini Rough Guide to London,0,2006,1,3.75,184353584X
The Rough Guide to London Restaurants 2004 6,0,2003,2,4.02,184353097X
The Rough Guide to Walks in London and Southeast England,1,2003,2,4.15,1858289386
Rough Guide Directions: London,3,2004,2,3.8,1843533162
London: City Guide (Lonely Planet City Guide),4,2006,1,4.03,1740598318
Best of London (Lonely Planet Best Of),0,2004,1,3.87,1740594770
London,0,2002,1,4.03,186450353X
Lonely Planet Londres,0,2006,2,4.03,8408064762
Out to Eat London 2001 (Lonely Planet),0,2000,2,3.0,1864500832
Out to Eat London 2002 (Lonely Planet Out to Eat),0,2001,1,3.0,1740592050
Lo mejor de Londres (Lonely Planet Best Of),0,2005,2,3.87,8408056131
Encyclopedia of Thai Massage,3,2004,2,4.25,1844090299
Thai Massage: Sacred Body Work,3,2004,2,4.31,1583331689
Thai Yoga Massage: A Dynamic Therapy for Physical Well-Being and Spiritual Energy,0,2004,2,3.89,0892811463
Thai Massage,0,2005,2,3.62,0754814742
Nuad Thai: Traditional Thai Massage,0,2005,2,3.67,0935621032
Thai Massage: A Traditional Medical Technique,1,2006,2,4.07,0323041388
Cryptonomicon,4272,2002,1,4.25,0060512806
The Cobweb,137,2005,1,3.61,0553383442
The Big U,224,2001,1,3.26,0380816032
Interface,272,2005,1,3.68,0553383434
Snow Crash,6621,2000,1,4.03,0553380958
The Good Eye,0,2006,2,0.0,1847280420
Angelfish,0,2006,2,5.0,1847280587
The Design of Everyday Things,1429,2002,1,4.17,0465067107
Emotional Design: Why We Love (or Hate) Everyday Things,154,2005,1,3.95,0465051367
The Psychology of Everyday Things,31,1988,1,4.17,0465067093
Doing Things with Things: The Design and Use of Everyday Objects,0,2006,2,2.6,0754646564
Wire,0,1994,2,4.0,1558597921
Wild Things: The Material Culture of Everyday Life,1,2000,2,3.64,1859733697
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,7,2006,1,4.27,0898709199
Creative Thought Remedies,0,1986,2,3.33,0875165664
Noise,0,1998,2,0.0,1854593536
Seven Mansions of Color,0,1983,2,3.9,0875165001
Fields of Gold,0,2005,2,0.0,184002528X
The Trust: The Private and Powerful Family Behind The New York Times,3,2000,2,3.9699999999999998,0316836311
How to Build a Real Estate Empire: Wisdom from the Best in the Business,1,2005,2,3.52,0977073300
The Alchemist,76,2006,1,3.87,0060887966
The Illustrated Alchemist: A Fable about Following Your Dream,33,1998,1,3.87,006019250X
Cambridge Wizard Student Guide the Kite Runner,1,2006,2,3.7800000000000002,0521682347
Pompeii,1743,2005,1,3.8200000000000003,0812974611
Pompeii . . . Buried Alive!,58,1987,2,3.98,0394888669
Pompeii: Lost and Found,13,2006,2,3.71,0375828893
A.D. 62: Pompeii,32,2003,2,3.36,059526882X
Pompeii: Public and Private Life,5,1999,2,3.42,0674689674
The Last Days of Pompeii,68,2002,1,3.6,158715739X
Of Mice and Men,25882,2002,1,3.87,0142000671
The Game: Penetrating the Secret Society of Pickup Artists,1607,2005,1,3.74,0060554738
The Westing Game,8918,2004,1,4.02,014240120X
The Egypt Game,1142,2009,1,3.83,0808553038
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,601,1997,2,4.25,0679778314
And a Hard Rain Fell,57,2004,2,4.13,157071987X
Hard Rain,0,1993,2,3.45,0679745270
Memoirs of a Geisha,3901,2005,1,4.11,1400096898
Memoirs of a Geisha: A Portrait of the Film,8,2005,1,4.1,1557046832
Geisha of Gion,160,2003,1,3.93,074343059X
Memoirs Of A Geisha,5,2006,1,4.11,0007229577
How to Make Anyone Fall in Love with You,72,1997,2,3.58,0809229897
How To Get Laid: The Rules On How To Succeed With Women And How To Make Anyone Fall In Love With You,0,2000,2,3.0,0971320500
Marriage Special Package- 2 books- Five Love Languages/Fight Fair,10,2003,2,4.3,0802415075
Jungle Love,7,2002,1,3.45,0521750849
Building Literacy with Love: A Guide for Teachers and Caregivers of Children Birth Through Age 5,1,2004,2,3.6,0943657822
The Five Love Languages of Children,1244,1997,2,4.2,1881273652
The Five Love Languages of Teenagers,14,2001,2,4.12,1881273393
The 5 Love Languages / The 5 Love Languages Journal,4,2005,1,4.69,0802415318
Five Love Languages Journal: How To Express Heartfelt Commitment To Your Mate,2,2005,2,4.18,1881273717
Los Cinco Lenguajes Del Amor/the Five Languages of Love,5,2004,2,4.25,0789912864
Angels and Demons: What Do We Really Know About Them?,22,1995,2,4.05,0898705509
Angels and Demons in Art,7,2005,2,4.11,0892368306
Secrets of Angels and Demons,0,2006,2,3.46,1593153589
Angeles & Demonios,7,2005,2,3.9,0972859896
The Da Vinci Code,105,2006,1,3.84,076792603X
The Da Vinci Code: Fact or Fiction?,12,2004,2,3.68,1414302797
Deception Point,411,2006,1,3.71,1416524800
A Storm Without Rain: A Novel in Time,10,2004,2,4.09,0937822809
Storm in a Rain Barrel,0,1991,2,3.23,0792706056
